"","from","to","weight","type"
"1",87,80,19,"received"
"2",NA,80,19,"received"
"3",32,228,17,"received"
"4",32,80,17,"received"
"5",32,80,18,"received"
"6",80,81,19,"sent"
"7",80,185,19,"sent"
"8",32,80,19,"received"
"9",80,81,19,"sent"
"10",87,80,19,"received"
"11",NA,80,19,"received"
"12",87,80,19,"received"
"13",NA,80,19,"received"
"14",87,80,19,"received"
"15",10,80,19,"received"
"16",32,80,18,"received"
"17",77,80,19,"received"
"18",213,80,13,"received"
"19",213,32,13,"received"
"20",213,229,13,"received"
"21",213,170,13,"received"
"22",213,87,13,"received"
"23",213,80,15,"received"
"24",213,32,15,"received"
"25",213,230,15,"received"
"26",213,231,15,"received"
"27",87,80,19,"received"
"28",87,213,17,"received"
"29",80,87,19,"sent"
"30",80,185,19,"sent"
"31",80,185,18,"sent"
"32",80,232,18,"sent"
"33",80,87,19,"sent"
"34",87,80,16,"received"
"35",194,80,19,"received"
"36",87,80,19,"received"
"37",32,80,16,"received"
"38",21,80,19,"received"
"39",81,80,18,"received"
"40",87,80,19,"received"
"41",32,80,19,"received"
"42",NA,80,19,"received"
"43",80,185,19,"sent"
"44",87,80,17,"received"
"45",185,80,14,"received"
"46",32,80,19,"received"
"47",81,80,19,"received"
"48",32,80,17,"received"
"49",32,163,17,"received"
"50",32,22,17,"received"
"51",87,80,19,"received"
"52",22,163,18,"received"
"53",22,32,18,"received"
"54",80,160,18,"sent"
"55",80,233,18,"sent"
"56",80,87,19,"sent"
"57",32,80,19,"received"
"58",87,80,19,"received"
"59",194,80,19,"received"
"60",80,87,19,"sent"
"61",80,234,18,"sent"
"62",80,87,18,"sent"
"63",22,163,17,"received"
"64",22,32,17,"received"
"65",22,32,17,"received"
"66",87,80,19,"received"
"67",10,80,18,"received"
"68",194,80,19,"received"
"69",194,80,19,"received"
"70",216,80,19,"received"
"71",80,235,18,"sent"
"72",80,87,18,"sent"
"73",32,80,19,"received"
"74",87,80,19,"received"
"75",87,80,19,"received"
"76",32,80,19,"received"
"77",10,80,19,"received"
"78",80,185,19,"sent"
"79",32,80,19,"received"
"80",87,80,14,"received"
"81",32,80,19,"received"
"82",80,87,18,"sent"
"83",87,80,18,"received"
"84",80,185,19,"sent"
"85",87,80,18,"received"
"86",194,80,19,"received"
"87",80,236,18,"sent"
"88",80,185,18,"sent"
"89",150,80,18,"received"
"90",32,80,19,"received"
"91",80,87,19,"sent"
"92",32,80,18,"received"
"93",87,80,17,"received"
"94",194,80,19,"received"
"95",87,80,19,"received"
"96",80,81,19,"sent"
"97",32,80,16,"received"
"98",NA,80,19,"received"
"99",NA,80,19,"received"
"100",80,237,15,"sent"
"101",80,32,15,"sent"
"102",32,80,19,"received"
"103",32,80,19,"received"
"104",80,87,19,"sent"
"105",48,80,16,"received"
"106",150,80,18,"received"
"107",87,80,16,"received"
"108",80,150,18,"sent"
"109",150,80,16,"received"
"110",150,48,16,"received"
"111",81,80,19,"received"
"112",80,150,18,"sent"
"113",87,80,16,"received"
"114",81,80,19,"received"
"115",81,80,16,"received"
"116",150,80,18,"received"
"117",170,80,17,"received"
"118",170,201,17,"received"
"119",150,80,18,"received"
"120",81,80,19,"received"
"121",87,80,18,"received"
"122",80,81,18,"sent"
"123",80,238,18,"sent"
"124",48,80,17,"received"
"125",48,87,17,"received"
"126",80,150,18,"sent"
"127",81,80,19,"received"
"128",80,87,18,"sent"
"129",87,80,19,"received"
"130",32,80,19,"received"
"131",48,80,16,"received"
"132",48,87,16,"received"
"133",150,80,18,"received"
"134",32,80,16,"received"
"135",80,150,18,"sent"
"136",80,150,17,"sent"
"137",80,239,17,"sent"
"138",NA,80,19,"received"
"139",150,80,18,"received"
"140",80,150,17,"sent"
"141",80,240,17,"sent"
"142",80,150,18,"sent"
"143",80,116,19,"sent"
"144",87,80,17,"received"
"145",150,80,18,"received"
"146",80,87,19,"sent"
"147",213,80,16,"received"
"148",213,32,16,"received"
"149",213,170,16,"received"
"150",213,87,16,"received"
"151",80,150,18,"sent"
"152",87,80,19,"received"
"153",32,80,19,"received"
"154",87,80,19,"received"
"155",NA,80,19,"received"
"156",32,80,19,"received"
"157",80,32,18,"sent"
"158",80,241,18,"sent"
"159",NA,80,19,"received"
"160",80,32,17,"sent"
"161",32,80,17,"received"
"162",80,87,19,"sent"
"163",87,80,17,"received"
"164",87,80,17,"received"
"165",80,32,16,"sent"
"166",80,242,16,"sent"
"167",32,80,19,"received"
"168",87,80,18,"received"
"169",80,87,16,"sent"
"170",80,243,16,"sent"
"171",87,80,19,"received"
"172",NA,80,19,"received"
"173",87,80,17,"received"
"174",80,150,19,"sent"
"175",32,80,19,"received"
"176",32,80,19,"received"
"177",81,80,19,"received"
"178",80,244,18,"sent"
"179",80,87,18,"sent"
"180",194,80,19,"received"
"181",32,80,19,"received"
"182",81,80,18,"received"
"183",87,80,19,"received"
"184",143,80,19,"received"
"185",80,228,18,"sent"
"186",32,80,18,"received"
"187",80,245,18,"sent"
"188",80,87,18,"sent"
"189",80,81,17,"sent"
"190",80,246,17,"sent"
"191",87,81,17,"received"
"192",87,80,17,"received"
"193",80,185,19,"sent"
"194",32,80,19,"received"
"195",38,80,16,"received"
"196",80,185,18,"sent"
"197",80,232,18,"sent"
"198",80,160,18,"sent"
"199",80,233,18,"sent"
"200",32,80,19,"received"
"201",32,80,19,"received"
"202",32,80,18,"received"
"203",87,80,19,"received"
"204",87,80,19,"received"
"205",32,80,19,"received"
"206",80,32,19,"sent"
"207",32,80,19,"received"
"208",32,80,19,"received"
"209",170,80,17,"received"
"210",87,80,19,"received"
"211",194,80,19,"received"
"212",80,185,19,"sent"
"213",80,247,18,"sent"
"214",80,87,18,"sent"
"215",87,80,19,"received"
"216",32,80,19,"received"
"217",80,160,18,"sent"
"218",80,233,18,"sent"
"219",81,80,19,"received"
"220",80,150,17,"sent"
"221",80,248,17,"sent"
"222",32,80,16,"received"
"223",32,80,18,"received"
"224",32,249,18,"received"
"225",80,150,18,"sent"
"226",80,250,18,"sent"
"227",87,80,19,"received"
"228",32,80,19,"received"
"229",80,251,18,"sent"
"230",80,150,18,"sent"
"231",32,87,19,"received"
"232",32,80,17,"received"
"233",80,150,19,"sent"
"234",NA,80,19,"received"
"235",80,150,19,"sent"
"236",80,150,19,"sent"
"237",170,80,17,"received"
"238",170,32,17,"received"
"239",80,150,18,"sent"
"240",80,252,18,"sent"
"241",80,87,18,"sent"
"242",80,253,18,"sent"
"243",32,80,19,"received"
"244",80,254,18,"sent"
"245",80,32,18,"sent"
"246",80,150,16,"sent"
"247",80,250,16,"sent"
"248",32,80,16,"received"
"249",NA,80,19,"received"
"250",150,80,17,"received"
"251",150,87,17,"received"
"252",10,80,19,"received"
"253",87,80,19,"received"
"254",32,80,19,"received"
"255",87,80,17,"received"
"256",87,80,18,"received"
"257",87,80,18,"received"
"258",32,80,19,"received"
"259",87,80,19,"received"
"260",80,185,18,"sent"
"261",32,80,17,"received"
"262",87,80,18,"received"
"263",32,80,19,"received"
"264",80,32,17,"sent"
"265",87,80,19,"received"
"266",32,80,17,"received"
"267",32,80,13,"received"
"268",87,80,19,"received"
"269",80,32,18,"sent"
"270",80,87,19,"sent"
"271",124,80,17,"received"
"272",124,32,17,"received"
"273",32,80,17,"received"
"274",32,80,17,"received"
"275",32,80,14,"received"
"276",124,80,16,"received"
"277",32,80,14,"received"
"278",32,80,19,"received"
"279",80,160,18,"sent"
"280",80,233,18,"sent"
"281",80,124,16,"sent"
"282",38,80,16,"received"
"283",32,80,19,"received"
"284",32,80,19,"received"
"285",32,80,19,"received"
"286",32,80,19,"received"
"287",194,80,19,"received"
"288",32,80,19,"received"
"289",32,80,19,"received"
"290",194,80,19,"received"
"291",80,216,18,"sent"
"292",80,255,18,"sent"
"293",32,80,18,"received"
"294",216,80,18,"received"
"295",201,80,18,"received"
"296",80,201,18,"sent"
"297",32,80,18,"received"
"298",80,32,18,"sent"
"299",87,80,19,"received"
"300",80,32,17,"sent"
"301",80,256,17,"sent"
"302",87,80,19,"received"
"303",80,87,19,"sent"
"304",80,185,19,"sent"
"305",87,80,19,"received"
"306",80,257,18,"sent"
"307",80,87,18,"sent"
"308",80,87,19,"sent"
"309",87,80,19,"received"
"310",170,80,19,"received"
"311",87,80,19,"received"
"312",80,185,19,"sent"
"313",80,87,19,"sent"
"314",87,80,19,"received"
"315",87,80,17,"received"
"316",87,80,17,"received"
"317",87,80,19,"received"
"318",87,80,18,"received"
"319",87,80,19,"received"
"320",87,80,12,"received"
"321",80,87,19,"sent"
"322",80,258,18,"sent"
"323",80,87,18,"sent"
"324",87,80,19,"received"
"325",87,80,18,"received"
"326",80,185,19,"sent"
"327",194,80,19,"received"
"328",80,259,18,"sent"
"329",80,87,18,"sent"
"330",87,80,19,"received"
"331",194,80,19,"received"
"332",80,160,18,"sent"
"333",80,233,18,"sent"
"334",80,87,19,"sent"
"335",150,80,17,"received"
"336",80,260,16,"sent"
"337",80,261,16,"sent"
"338",80,87,16,"sent"
"339",80,262,16,"sent"
"340",32,80,17,"received"
"341",32,209,17,"received"
"342",32,87,17,"received"
"343",80,32,18,"sent"
"344",80,263,18,"sent"
"345",209,80,17,"received"
"346",209,32,17,"received"
"347",209,87,17,"received"
"348",32,80,18,"received"
"349",194,80,19,"received"
"350",32,80,19,"received"
"351",135,80,19,"received"
"352",170,80,19,"received"
"353",38,80,18,"received"
"354",10,80,17,"received"
"355",105,80,19,"received"
"356",80,32,18,"sent"
"357",80,32,19,"sent"
"358",80,32,19,"sent"
"359",80,32,19,"sent"
"360",80,116,19,"sent"
"361",80,87,19,"sent"
"362",80,81,19,"sent"
"363",80,32,18,"sent"
"364",80,87,19,"sent"
"365",80,87,17,"sent"
"366",80,264,17,"sent"
"367",80,116,18,"sent"
"368",80,265,18,"sent"
"369",80,81,19,"sent"
"370",80,81,19,"sent"
"371",80,81,19,"sent"
"372",80,87,18,"sent"
"373",80,266,18,"sent"
"374",80,81,19,"sent"
"375",80,87,19,"sent"
"376",80,81,19,"sent"
"377",80,32,18,"sent"
"378",80,32,17,"sent"
"379",80,116,18,"sent"
"380",80,265,18,"sent"
"381",80,267,17,"sent"
"382",80,147,17,"sent"
"383",80,32,18,"sent"
"384",80,268,18,"sent"
"385",80,32,18,"sent"
"386",80,81,19,"sent"
"387",80,32,16,"sent"
"388",80,32,19,"sent"
"389",80,32,17,"sent"
"390",80,32,17,"sent"
"391",80,81,19,"sent"
"392",80,269,18,"sent"
"393",80,87,18,"sent"
"394",80,124,17,"sent"
"395",80,270,17,"sent"
"396",80,271,17,"sent"
"397",80,124,17,"sent"
"398",80,272,17,"sent"
"399",80,81,19,"sent"
"400",80,87,18,"sent"
"401",80,264,18,"sent"
"402",80,273,18,"sent"
"403",80,116,18,"sent"
"404",80,274,17,"sent"
"405",80,124,17,"sent"
"406",80,272,17,"sent"
